title,keyword,gross,release_date,corrected_budget
Ace Ventura: Pet Detective,farce,72217396,1994-02-04,15000000.0
Burn After Reading,farce,60355347,2008-09-12,37000000.0
Shakespeare in Love,farce,100317794,1998-12-11,25000000.0
Anchorman: The Legend of Ron Burgundy,farce,85288303,2004-07-09,26000000.0
Daddy Day Care,farce,104297061,2003-05-09,60000000.0
Young Frankenstein,farce,86273333,1974-12-15,2800000.0
Kung Fu Hustle,farce,17108591,2005-04-08,20000000.0
The House,farce,25584504,2017-06-30,40000000.0
Date Night,farce,98711404,2010-04-09,55000000.0
The Family Stone,farce,60062868,2005-12-16,18000000.0
The Wedding Date,farce,31726995,2005-02-04,15000000.0
The Lion King,flashback,312855561,1994-06-15,45000000.0
Alita: Battle Angel,flashback,85710210,2019-02-14,170000000.0
First Man,flashback,44936545,2018-10-12,59000000.0
It,flashback,327481748,2017-09-08,35000000.0
Inglourious Basterds,flashback,120540719,2009-08-21,70000000.0
Zombieland,flashback,75590286,2009-10-02,23600000.0
Pulp Fiction,flashback,107928762,1994-10-14,8000000.0
Fantastic Beasts: The Crimes of Grindelwald,flashback,159555901,2018-11-16,200000000.0
Thor: Ragnarok,flashback,315058289,2017-11-03,180000000.0
A Star Is Born,flashback,4335968,1954-09-29,5019770.0
A Simple Favor,flashback,53548586,2018-09-14,20000000.0
Blade Runner 2049,flashback,92054159,2017-10-06,150000000.0
The Shawshank Redemption,flashback,28341469,1994-09-23,25000000.0
The Dark Knight,flashback,533345358,2008-07-18,185000000.0
The Hateful Eight,flashback,54117416,2015-12-25,44000000.0
Interstellar,flashback,188020017,2014-11-05,165000000.0
Watchmen,flashback,107509799,2009-03-06,130000000.0
Django Unchained,flashback,162805434,2012-12-25,100000000.0
Suicide Squad,flashback,325100054,2016-08-05,175000000.0
John Wick,flashback,43037835,2014-10-24,20000000.0
Reservoir Dogs,flashback,2832029,1992-10-23,1200000.0
The Wolf of Wall Street,flashback,116900694,2013-12-25,100000000.0
Deadpool 2,flashback,318491426,2018-05-18,110000000.0
Titanic,flashback,600788188,1997-12-19,200000000.0
Get Out,flashback,176040665,2017-02-24,4500000.0
Guardians of the Galaxy,flashback,333176600,2014-08-01,170000000.0
Batman Begins,flashback,205343774,2005-06-15,150000000.0
Alita: Battle Angel,futuristic,85710210,2019-02-14,170000000.0
Guardians of the Galaxy,futuristic,333176600,2014-08-01,170000000.0
Alien: Covenant,futuristic,74262031,2017-05-19,97000000.0
Solo: A Star Wars Story,futuristic,213767512,2018-05-25,275000000.0
Mortal Engines,futuristic,15951040,2018-12-14,100000000.0
Valerian and the City of a Thousand Planets,futuristic,41189488,2017-07-21,177200000.0
Star Trek Beyond,futuristic,158848340,2016-07-22,185000000.0
Star Trek,futuristic,257730019,2009-05-08,150000000.0
Minority Report,futuristic,132072926,2002-06-21,102000000.0
Independence Day: Resurgence,futuristic,103144286,2016-06-24,165000000.0
The Hunger Games: Mockingjay - Part 1,futuristic,337135885,2014-11-21,125000000.0
Prometheus,futuristic,126477084,2012-06-08,130000000.0
Star Trek Into Darkness,futuristic,228778661,2013-05-16,190000000.0
Big Hero 6,futuristic,222527828,2014-11-07,165000000.0
Street Fighter,futuristic,33423521,1994-12-23,35000000.0
The Space Between Us,futuristic,7885294,2017-02-03,30000000.0
Lost in Space,futuristic,69117629,1998-04-03,80000000.0
Bicentennial Man,futuristic,58223861,1999-12-17,100000000.0
Johnny Mnemonic,futuristic,19075720,1995-05-26,26000000.0
Astro Boy,futuristic,19551067,2009-10-23,65000000.0
The Dark Knight,heist,533345358,2008-07-18,185000000.0
Suicide Squad,heist,325100054,2016-08-05,175000000.0
Reservoir Dogs,heist,2832029,1992-10-23,1200000.0
Inception,heist,292576195,2010-07-16,160000000.0
Baby Driver,heist,107825862,2017-06-28,34000000.0
The Dark Knight Rises,heist,448139099,2012-07-20,250000000.0
Solo: A Star Wars Story,heist,213767512,2018-05-25,275000000.0
Widows,heist,42402632,2018-11-16,42000000.0
Pirates of the Caribbean: Dead Men Tell No Tales,heist,172558876,2017-05-26,230000000.0
The Fast and the Furious,heist,144533925,2001-06-22,38000000.0
The Usual Suspects,heist,23341568,1995-08-18,6000000.0
Furious 7,heist,353007020,2015-04-03,190000000.0
The Town,heist,92186262,2010-09-17,37000000.0
Ant-Man,heist,180202163,2015-07-17,130000000.0
Mission: Impossible III,heist,134029801,2006-05-05,150000000.0
Hell or High Water,heist,27007844,2016-08-12,12000000.0
Die Hard,heist,83008852,1988-07-15,28000000.0
Logan Lucky,heist,27780977,2017-08-18,29000000.0
Fast Five,heist,209837675,2011-04-29,125000000.0
Now You See Me,heist,117723989,2013-05-31,75000000.0
The Great Wall,heist,45540830,2017-02-17,150000000.0
Ocean's Eleven,heist,183417150,2001-12-07,85000000.0
The A-Team,heist,77222099,2010-06-11,110000000.0
Mission: Impossible,heist,180981856,1996-05-22,80000000.0
Inside Man,heist,88513495,2006-03-24,45000000.0
Elysium,heist,93050117,2013-08-09,115000000.0
National Treasure,heist,173008894,2004-11-19,100000000.0
Aladdin,hero,217350219,1992-11-13,28000000.0
Spider-Man: Homecoming,hero,334201140,2017-07-07,175000000.0
The Princess and the Frog,hero,104400899,2009-11-25,105000000.0
The Shawshank Redemption,hero,28341469,1994-09-23,25000000.0
The Dark Knight,hero,533345358,2008-07-18,185000000.0
Watchmen,hero,107509799,2009-03-06,130000000.0
Harry Potter and the Sorcerer's Stone,hero,317575550,2001-11-16,125000000.0
Batman Begins,hero,205343774,2005-06-15,150000000.0
The Matrix,hero,171479930,1999-03-31,63000000.0
Robin Hood,hero,105269730,2010-05-14,200000000.0
The Meg,hero,145443742,2018-08-10,130000000.0
Spider-Man,hero,403706375,2002-05-03,139000000.0
Ready Player One,hero,137690172,2018-03-29,175000000.0
Blade: Trinity,hero,52411906,2004-12-08,65000000.0
Gladiator,hero,187705427,2000-05-05,103000000.0
The Dark Knight Rises,hero,448139099,2012-07-20,250000000.0
The Departed,hero,132384315,2006-10-06,90000000.0
Iron Man,hero,318412101,2008-05-02,140000000.0
It,hero,327481748,2017-09-08,35000000.0
Baywatch,hero,58060186,2017-05-25,69000000.0
Back to the Future,hero,210609762,1985-07-03,19000000.0
Terminator 2: Judgment Day,hero,204843345,1991-07-03,102000000.0
Thor,hero,181030624,2011-05-06,150000000.0
Solo: A Star Wars Story,hero,213767512,2018-05-25,275000000.0
Guardians of the Galaxy Vol. 2,hero,389813101,2017-05-05,200000000.0
Hellboy,hero,59623958,2004-04-02,66000000.0
Schindler's List,hero,96065768,1993-12-15,22000000.0
Spider-Man: Homecoming,idealism,334201140,2017-07-07,175000000.0
The Dark Knight,idealism,533345358,2008-07-18,185000000.0
The Wolf of Wall Street,idealism,116900694,2013-12-25,100000000.0
Batman Begins,idealism,205343774,2005-06-15,150000000.0
Terminator 2: Judgment Day,idealism,204843345,1991-07-03,102000000.0
Wonder Woman,idealism,412563408,2017-06-02,149000000.0
Captain America: The First Avenger,idealism,176654505,2011-07-22,140000000.0
American Pie,idealism,102561004,1999-07-09,11000000.0
The Lord of the Rings: The Return of the King,idealism,377027325,2003-12-17,94000000.0
Hunter Killer,idealism,15767460,2018-10-26,40000000.0
Transformers,idealism,319246193,2007-07-03,150000000.0
Braveheart,idealism,75609945,1995-05-24,72000000.0
The Lord of the Rings: The Two Towers,idealism,339789881,2002-12-18,94000000.0
V for Vendetta,idealism,70511035,2006-03-17,54000000.0
King Arthur: Legend of the Sword,idealism,39175066,2017-05-12,175000000.0
Superman Returns,idealism,200081192,2006-06-28,270000000.0
The Dreamers,idealism,2532228,2004-02-06,15000000.0
The Last Samurai,idealism,111127263,2003-12-05,140000000.0
Jerry Maguire,idealism,153952592,1996-12-13,50000000.0
Children of Men,idealism,35552383,2006-12-25,76000000.0
Superman,idealism,134218018,1978-12-15,55000000.0
Crash,idealism,54580300,2005-05-06,6500000.0
School of Rock,idealism,81261177,2003-10-03,35000000.0
Alexander,idealism,34297191,2004-11-24,155000000.0
Rambo,idealism,42754105,2008-01-25,50000000.0
Hero,idealism,53710019,2004-08-27,31000000.0
Mr. Deeds,idealism,126293452,2002-06-28,50000000.0
The Constant Gardener,idealism,33579797,2005-08-31,25000000.0
Inglourious Basterds,investigation,120540719,2009-08-21,70000000.0
Fantastic Beasts: The Crimes of Grindelwald,investigation,159555901,2018-11-16,200000000.0
Spider-Man: Homecoming,investigation,334201140,2017-07-07,175000000.0
A Simple Favor,investigation,53548586,2018-09-14,20000000.0
Blade Runner 2049,investigation,92054159,2017-10-06,150000000.0
The Dark Knight,investigation,533345358,2008-07-18,185000000.0
Watchmen,investigation,107509799,2009-03-06,130000000.0
The Wolf of Wall Street,investigation,116900694,2013-12-25,100000000.0
Batman Begins,investigation,205343774,2005-06-15,150000000.0
The Silence of the Lambs,investigation,130742922,1991-02-14,19000000.0
Brightburn,investigation,17300439,2019-05-24,6000000.0
Mile 22,investigation,36108758,2018-08-17,50000000.0
The Hangover,investigation,277322503,2009-06-05,35000000.0
Halloween,investigation,47000000,1978-10-25,325000
The Dark Knight Rises,investigation,448139099,2012-07-20,250000000.0
The Departed,investigation,132384315,2006-10-06,90000000.0
It,investigation,327481748,2017-09-08,35000000.0
Baywatch,investigation,58060186,2017-05-25,69000000.0
The Mule,investigation,103804407,2018-12-14,50000000.0
Annihilation,investigation,32732301,2018-02-23,40000000.0
Gone Girl,investigation,167767189,2014-10-03,61000000.0
The Nun,investigation,117450119,2018-09-07,22000000.0
Zodiac,investigation,33080084,2007-03-02,65000000.0
It,kidnapping,327481748,2017-09-08,35000000.0
Fantastic Beasts: The Crimes of Grindelwald,kidnapping,159555901,2018-11-16,200000000.0
Thor: Ragnarok,kidnapping,315058289,2017-11-03,180000000.0
Blade Runner 2049,kidnapping,92054159,2017-10-06,150000000.0
The Dark Knight,kidnapping,533345358,2008-07-18,185000000.0
The Hateful Eight,kidnapping,54117416,2015-12-25,44000000.0
Suicide Squad,kidnapping,325100054,2016-08-05,175000000.0
The Wolf of Wall Street,kidnapping,116900694,2013-12-25,100000000.0
Mission: Impossible - Fallout,kidnapping,220159104,2018-07-27,178000000.0
Deadpool 2,kidnapping,318491426,2018-05-18,110000000.0
Overlord,kidnapping,21704844,2018-11-09,38000000.0
Get Out,kidnapping,176040665,2017-02-24,4500000.0
Guardians of the Galaxy,kidnapping,333176600,2014-08-01,170000000.0
Batman Begins,kidnapping,205343774,2005-06-15,150000000.0
Mad Max: Fury Road,kidnapping,153636354,2015-05-15,150000000.0
Inception,kidnapping,292576195,2010-07-16,160000000.0
The Spy Who Dumped Me,kidnapping,33562069,2018-08-03,40000000.0
Robin Hood,kidnapping,105269730,2010-05-14,200000000.0
The Silence of the Lambs,kidnapping,130742922,1991-02-14,19000000.0
Red Sparrow,kidnapping,46874505,2018-03-02,69000000.0
Ready Player One,kidnapping,137690172,2018-03-29,175000000.0
Captain America: Civil War,kidnapping,408084349,2016-05-06,250000000.0
The Hangover,kidnapping,277322503,2009-06-05,35000000.0
The Dark Knight Rises,kidnapping,448139099,2012-07-20,250000000.0
Iron Man,kidnapping,318412101,2008-05-02,140000000.0
Baywatch,kidnapping,58060186,2017-05-25,69000000.0
Annihilation,kidnapping,32732301,2018-02-23,40000000.0
Thor: Ragnarok,knight,315058289,2017-11-03,180000000.0
Transformers: The Last Knight,knight,130168683,2017-06-21,217000000.0
Thor: The Dark World,knight,206362140,2013-11-08,170000000.0
Harry Potter and the Prisoner of Azkaban,knight,249541069,2004-06-04,130000000.0
Snow White and the Huntsman,knight,155332381,2012-06-01,170000000.0
The Mummy,knight,155385488,1999-05-07,80000000.0
A Knight's Tale,knight,56569702,2001-05-11,65000000.0
King Arthur: Legend of the Sword,knight,39175066,2017-05-12,175000000.0
Indiana Jones and the Last Crusade,knight,197171806,1989-05-24,48000000.0
Kingdom of Heaven,knight,47398413,2005-05-06,130000000.0
Shrek,knight,267665011,2001-05-16,60000000.0
Your Highness,knight,21596445,2011-04-08,49900000.0
The Da Vinci Code,knight,217536138,2006-05-19,125000000.0
National Treasure,knight,173008894,2004-11-19,100000000.0
King Arthur,knight,51882244,2004-07-07,120000000.0
Robin Hood,knight,105269730,2010-05-14,200000000.0
Shrek 2,knight,441226247,2004-05-19,150000000.0
Austin Powers in Goldmember,knight,213307889,2002-07-26,63000000.0
Seventh Son,knight,17223265,2015-02-06,95000000.0
Robin Hood: Prince of Thieves,knight,165493908,1991-06-14,48000000.0
Assassin's Creed,knight,54647948,2016-12-21,125000000.0
Eragon,knight,75030163,2006-12-15,100000000.0
Hotel Transylvania,knight,148313048,2012-09-28,85000000.0
Cars 2,knight,191452396,2011-06-24,200000000.0
Reign of Fire,knight,43061982,2002-07-12,60000000.0
Pulp Fiction,macguffin,107928762,1994-10-14,8000000.0
Blade Runner 2049,macguffin,92054159,2017-10-06,150000000.0
Guardians of the Galaxy,macguffin,333176600,2014-08-01,170000000.0
The Spy Who Dumped Me,macguffin,33562069,2018-08-03,40000000.0
Ready Player One,macguffin,137690172,2018-03-29,175000000.0
Mile 22,macguffin,36108758,2018-08-17,50000000.0
Jumanji: Welcome to the Jungle,macguffin,404515480,2017-12-20,90000000.0
Mortal Engines,macguffin,15951040,2018-12-14,100000000.0
Valerian and the City of a Thousand Planets,macguffin,41189488,2017-07-21,177200000.0
Pirates of the Caribbean: Dead Men Tell No Tales,macguffin,172558876,2017-05-26,230000000.0
Star Trek Beyond,macguffin,158848340,2016-07-22,185000000.0
Batman v Superman: Dawn of Justice,macguffin,330360194,2016-03-25,250000000.0
Transformers,macguffin,319246193,2007-07-03,150000000.0
The Social Network,macguffin,96962694,2010-10-01,40000000.0
Furious 7,macguffin,353007020,2015-04-03,190000000.0
Atomic Blonde,macguffin,51687870,2017-07-28,30000000.0
Raiders of the Lost Ark,macguffin,212222025,1981-06-12,18000000.0
The Nice Guys,macguffin,36261763,2016-05-20,50000000.0
The Mummy,macguffin,155385488,1999-05-07,80000000.0
Mission: Impossible - Rogue Nation,macguffin,195042377,2015-07-31,150000000.0
Game Night,macguffin,69179066,2018-02-23,37000000.0
Mission: Impossible III,macguffin,134029801,2006-05-05,150000000.0
Indiana Jones and the Temple of Doom,macguffin,179870271,1984-05-23,28000000.0
Law Abiding Citizen,macguffin,73357727,2009-10-16,50000000.0
Indiana Jones and the Last Crusade,macguffin,197171806,1989-05-24,48000000.0
Skyfall,macguffin,304360277,2012-11-09,200000000.0
Fast Five,macguffin,209837675,2011-04-29,125000000.0
The Great Wall,macguffin,45540830,2017-02-17,150000000.0
Kindergarten Cop,macguffin,91457688,1990-12-22,15000000.0
Prince of Persia: The Sands of Time,macguffin,90759676,2010-05-28,200000000.0
Skyscraper,macguffin,68420120,2018-07-13,125000000.0
Children of Men,macguffin,35552383,2006-12-25,76000000.0
Central Intelligence,macguffin,127440871,2016-06-17,50000000.0
The Last Witch Hunter,macguffin,27367660,2015-10-23,90000000.0
Drop Dead Gorgeous,mockumentary,10571408,1999-07-23,15000000.0
Talladega Nights: The Ballad of Ricky Bobby,mockumentary,148213377,2006-08-04,72500000.0
District 9,mockumentary,115646235,2009-08-14,30000000.0
The Blair Witch Project,mockumentary,140539099,1999-07-16,60000
Apollo 18,mockumentary,17687709,2011-09-02,5000000.0
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,mockumentary,128505958,2006-11-03,18000000.0
The Visit,mockumentary,65206105,2015-09-11,5000000.0
Paranormal Activity,mockumentary,107918810,2009-09-25,15000
Best in Show,mockumentary,18715392,2000-09-29,10000000.0
Quarantine,mockumentary,31691811,2008-10-10,12000000.0
Paranormal Activity 2,mockumentary,84752907,2010-10-22,3000000.0
Waiting for Guffman,mockumentary,2923982,1997-01-31,4000000.0
Paranormal Activity 3,mockumentary,104028807,2011-10-21,5000000.0
It,monster,327481748,2017-09-08,35000000.0
Fantastic Beasts: The Crimes of Grindelwald,monster,159555901,2018-11-16,200000000.0
Thor: Ragnarok,monster,315058289,2017-11-03,180000000.0
Avatar,monster,749766139,2009-12-18,237000000.0
Suicide Squad,monster,325100054,2016-08-05,175000000.0
Harry Potter and the Sorcerer's Stone,monster,317575550,2001-11-16,125000000.0
Overlord,monster,21704844,2018-11-09,38000000.0
The Hunger Games,monster,408010692,2012-03-23,78000000.0
A Quiet Place,monster,188024361,2018-04-06,17000000.0
The Lord of the Rings: The Fellowship of the Ring,monster,313364114,2001-12-19,93000000.0
Alien,monster,78944891,1979-05-25,11000000.0
It,monster,327481748,2017-09-08,35000000.0
Jurassic Park,monster,357067947,1993-06-11,63000000.0
Alien: Covenant,monster,74262031,2017-05-19,97000000.0
Annihilation,monster,32732301,2018-02-23,40000000.0
Thor,monster,181030624,2011-05-06,150000000.0
Split,monster,138291365,2017-01-20,9000000.0
Kong: Skull Island,monster,168052812,2017-03-10,185000000.0
Solo: A Star Wars Story,monster,213767512,2018-05-25,275000000.0
Guardians of the Galaxy Vol. 2,monster,389813101,2017-05-05,200000000.0
Beauty and the Beast,monster,145863363,1991-11-15,25000000.0
Hellboy,monster,59623958,2004-04-02,66000000.0
Jurassic World: Fallen Kingdom,monster,417719760,2018-06-22,170000000.0
Valerian and the City of a Thousand Planets,monster,41189488,2017-07-21,177200000.0
The Lord of the Rings: The Return of the King,monster,377027325,2003-12-17,94000000.0
Jaws,monster,260000000,1975-06-20,7000000.0
Scott Pilgrim vs. the World,monster,31524275,2010-08-13,60000000.0
The Lion King,murder,312855561,1994-06-15,45000000.0
It,murder,327481748,2017-09-08,35000000.0
Us,murder,175005930,2019-03-22,20000000.0
Inglourious Basterds,murder,120540719,2009-08-21,70000000.0
Pulp Fiction,murder,107928762,1994-10-14,8000000.0
Fantastic Beasts: The Crimes of Grindelwald,murder,159555901,2018-11-16,200000000.0
Thor: Ragnarok,murder,315058289,2017-11-03,180000000.0
A Simple Favor,murder,53548586,2018-09-14,20000000.0
Blade Runner 2049,murder,92054159,2017-10-06,150000000.0
The Shawshank Redemption,murder,28341469,1994-09-23,25000000.0
The Dark Knight,murder,533345358,2008-07-18,185000000.0
The Hateful Eight,murder,54117416,2015-12-25,44000000.0
Batman Begins,ninja,205343774,2005-06-15,150000000.0
Ready Player One,ninja,137690172,2018-03-29,175000000.0
Scott Pilgrim vs. the World,ninja,31524275,2010-08-13,60000000.0
The Last Samurai,ninja,111127263,2003-12-05,140000000.0
Pineapple Express,ninja,87341380,2008-08-06,27000000.0
G.I. Joe: The Rise of Cobra,ninja,150201498,2009-08-07,175000000.0
Elektra,ninja,24409722,2005-01-14,43000000.0
Teenage Mutant Ninja Turtles,ninja,135265915,1990-03-30,13500000.0
Teenage Mutant Ninja Turtles: Out of the Shadows,ninja,82051601,2016-06-03,135000000.0
G.I. Joe: Retaliation,ninja,122523060,2013-03-28,130000000.0
Teenage Mutant Ninja Turtles,ninja,135265915,1990-03-30,13500000.0
The Wolverine,ninja,132556852,2013-07-26,120000000.0
Dumb and Dumber To,ninja,86208010,2014-11-14,40000000.0
George of the Jungle,ninja,105263257,1997-07-18,55000000.0
The Green Hornet,ninja,98780042,2011-01-14,120000000.0
Ninja Assassin,ninja,38122883,2009-11-25,40000000.0
Speed Racer,ninja,43945766,2008-05-09,120000000.0
Flushed Away,ninja,64665672,2006-11-03,149000000.0
The Man with the Iron Fists,ninja,15634090,2012-11-02,15000000.0
The Master of Disguise,ninja,40388794,2002-08-02,16000000.0
Annabelle,parenthood,84273813,2014-10-03,6500000.0
Jurassic Park III,parenthood,181171875,2001-07-18,93000000.0
Home Again,parenthood,27020284,2017-09-08,12000000.0
Big Daddy,parenthood,163479795,1999-06-25,34200000.0
Secrets & Lies,parenthood,13417292,1996-09-28,4500000.0
The Forgotten,parenthood,67133509,2004-09-24,42000000.0
The Deep End of the Ocean,parenthood,13898649,1999-03-12,38000000.0
The Banger Sisters,parenthood,30307416,2002-09-20,10000000.0
Being Human,parenthood,1519366,1994-05-06,40000000.0
My Baby's Daddy,parenthood,17669317,2004-01-09,12000000.0
Deadpool 2,parody,318491426,2018-05-18,110000000.0
Baywatch,parody,58060186,2017-05-25,69000000.0
Deadpool,parody,363070709,2016-02-12,58000000.0
Airplane!,parody,83453539,1980-06-27,3500000.0
Tropic Thunder,parody,110515313,2008-08-13,92000000.0
Megamind,parody,148415853,2010-11-05,130000000.0
Not Another Teen Movie,parody,38252284,2001-12-14,15000000.0
Johnny English Strikes Again,parody,4412170,2018-10-26,25000000.0
21 Jump Street,parody,138447667,2012-03-16,42000000.0
Enchanted,parody,127807262,2007-11-21,85000000.0
Sausage Party,parody,97685686,2016-08-12,19000000.0
Paul Blart: Mall Cop,parody,146336178,2009-01-16,26000000.0
Your Highness,parody,21596445,2011-04-08,49900000.0
Spy,parody,110825712,2015-06-05,65000000.0
Wreck-It Ralph,parody,189422889,2012-11-02,165000000.0
Spy Kids,parody,112719001,2001-03-30,35000000.0
Wayne's World,parody,121697323,1992-02-14,20000000.0
Zombieland,post-apocalypse,75590286,2009-10-02,23600000.0
The Matrix,post-apocalypse,171479930,1999-03-31,63000000.0
Mad Max: Fury Road,post-apocalypse,153636354,2015-05-15,150000000.0
The Hunger Games,post-apocalypse,408010692,2012-03-23,78000000.0
A Quiet Place,post-apocalypse,188024361,2018-04-06,17000000.0
Terminator 2: Judgment Day,post-apocalypse,204843345,1991-07-03,102000000.0
The Terminator,post-apocalypse,38371200,1984-10-26,6400000.0
Mortal Engines,post-apocalypse,15951040,2018-12-14,100000000.0
The Hunger Games: Catching Fire,post-apocalypse,424668047,2013-11-22,130000000.0
The Dark Tower,post-apocalypse,50701325,2017-08-04,60000000.0
The Hunger Games: Mockingjay - Part 2,post-apocalypse,281723902,2015-11-20,160000000.0
Waterworld,post-apocalypse,88246220,1995-07-28,175000000.0
The Book of Eli,post-apocalypse,94835059,2010-01-15,80000000.0
Oblivion,post-apocalypse,89107235,2013-04-19,120000000.0
The Hunger Games: Mockingjay - Part 1,post-apocalypse,337135885,2014-11-21,125000000.0
The Time Machine,post-apocalypse,56832494,2002-03-08,80000000.0
The Matrix Reloaded,post-apocalypse,281576461,2003-05-15,150000000.0
Maze Runner: The Death Cure,post-apocalypse,58032443,2018-01-26,62000000.0
X-Men: Days of Future Past,post-apocalypse,233921534,2014-05-23,200000000.0
The Darkest Minds,post-apocalypse,12695691,2018-08-03,34000000.0
Terminator Salvation,post-apocalypse,125322469,2009-05-21,200000000.0
I Am Legend,post-apocalypse,256393010,2007-12-14,150000000.0
The Matrix Revolutions,post-apocalypse,139313948,2003-11-05,150000000.0
Pulp Fiction,postmodern,107928762,1994-10-14,8000000.0
Watchmen,postmodern,107509799,2009-03-06,130000000.0
Fight Club,postmodern,37030102,1999-10-15,63000000.0
American Gangster,postmodern,130164645,2007-11-02,100000000.0
Payback,postmodern,81526121,1999-02-05,90000000.0
It,psychopath,327481748,2017-09-08,35000000.0
Inglourious Basterds,psychopath,120540719,2009-08-21,70000000.0
Pulp Fiction,psychopath,107928762,1994-10-14,8000000.0
The Dark Knight,psychopath,533345358,2008-07-18,185000000.0
Watchmen,psychopath,107509799,2009-03-06,130000000.0
Avatar,psychopath,749766139,2009-12-18,237000000.0
Suicide Squad,psychopath,325100054,2016-08-05,175000000.0
Reservoir Dogs,psychopath,2832029,1992-10-23,1200000.0
Get Out,psychopath,176040665,2017-02-24,4500000.0
Batman Begins,psychopath,205343774,2005-06-15,150000000.0
Baby Driver,psychopath,107825862,2017-06-28,34000000.0
The Silence of the Lambs,psychopath,130742922,1991-02-14,19000000.0
Red Sparrow,psychopath,46874505,2018-03-02,69000000.0
Halloween,psychopath,47000000,1978-10-25,325000
The Dark Knight Rises,psychopath,448139099,2012-07-20,250000000.0
It,psychopath,327481748,2017-09-08,35000000.0
The Shining,psychopath,44017374,1980-05-23,19000000.0
Alien: Covenant,psychopath,74262031,2017-05-19,97000000.0
Terminator 2: Judgment Day,psychopath,204843345,1991-07-03,102000000.0
